Unnamed: 0,Author,Book Name,imagePaths
431,Piggyback,Red Dead Redemption 2,data/covers/0000432.jpg
432,Andreas M Antonopoulos,The Internet of Money Volume Two,data/covers/0000433.jpg
433,Christian F. Nissen,Passing your ITIL foundation exam,data/covers/0000434.jpg
434,Scott Kelby,The Best of The Digital Photography Book Series,data/covers/0000435.jpg
435,Andrew Hodges,Alan Turing: The Enigma,data/covers/0000436.jpg
436,Kent Beck,Extreme Programming Explained,data/covers/0000437.jpg
437,Peter Pauper Press,Internet Address Password Log Black,data/covers/0000438.jpg
438,Henry S. Warren,Hacker's Delight,data/covers/0000439.jpg
439,,The Pokemon Sun & Pokemon Moon,data/covers/0000440.jpg
440,Jeff Potter,"Cooking for Geeks, 2e",data/covers/0000441.jpg
441,Bjarne Stroustrup,The C++ Programming Language,data/covers/0000442.jpg
442,Laurens Valk,The Lego Mindstorms Nxt 2.0 Discovery Book,data/covers/0000443.jpg
443,Bethesda Softworks,The Elder Scrolls V - The Skyrim Library,data/covers/0000444.jpg
444,Len Bass,Software Architecture in Practice,data/covers/0000445.jpg
445,Donald W. Jones,"Learn Windows PowerShell in a Month of Lunches, Third Edition",data/covers/0000446.jpg
446,Ben Phillips Media Limited,Sorry Bro!,data/covers/0000447.jpg
447,Damien Kuhn,The Fortnite Guide to Staying Alive,data/covers/0000448.jpg
448,The Pokemon Company International Inc,The Essential Pokemon Book of Joy,data/covers/0000449.jpg
449,,Terraria: Crafting and Construction Handbook,data/covers/0000450.jpg
450,Elisabeth Robson,Head First HTML and CSS,data/covers/0000451.jpg
451,Adobe Creative Team,Adobe Illustrator CS5 Classroom in a Book,data/covers/0000452.jpg
452,Toby Segaran,Programming Collective Intelligence,data/covers/0000453.jpg
453,Matt Forbeck,Life is Strange,data/covers/0000454.jpg
454,Steven Levy,In The Plex,data/covers/0000455.jpg
455,Michael Kerrisk,The Linux Programming Interface,data/covers/0000456.jpg
456,Majed Marji,Learn To Program With Scratch,data/covers/0000457.jpg
457,Perry Marshall,Ultimate Guide to Google AdWords,data/covers/0000458.jpg
458,Greg Perry,C Programming Absolute Beginner's Guide,data/covers/0000459.jpg
459,Stef Maruch,Python For Dummies,data/covers/0000460.jpg
460,Ralph Kimball,The Data Warehouse Toolkit,data/covers/0000461.jpg
461,Office of Government Commerce,Passing the PRINCE2 Examinations 2009,data/covers/0000462.jpg
462,Jon Bentley,Programming Pearls,data/covers/0000463.jpg
463,Jeremy Blum,Exploring Arduino,data/covers/0000464.jpg
464,Sebastian Raschka,Python Machine Learning -,data/covers/0000465.jpg
465,John Walkenbach,Excel 2013 Bible,data/covers/0000466.jpg
466,David Jagneaux,The Ultimate Roblox Book: An Unofficial Guide,data/covers/0000467.jpg
467,Kevin D. Mitnick,The Art of Invisibility,data/covers/0000468.jpg
468,Carrie Anton,Smart Girls GD Digital World,data/covers/0000469.jpg
469,Patrick Engebretson,The Basics of Hacking and Penetration Testing,data/covers/0000470.jpg
470,Craig Richardson,Learn To Program With Minecraft,data/covers/0000471.jpg
471,Julie Pallant,SPSS Survival Manual,data/covers/0000472.jpg
472,Jonathan Rasmusson,The Agile Samurai,data/covers/0000473.jpg
473,William Mougayar,The Business Blockchain,data/covers/0000474.jpg
474,Tom Greever,Articulating Design Decisions,data/covers/0000475.jpg
475,Alice Finch,The Lego Architecture Ideas Book,data/covers/0000476.jpg
476,James Kurose,"Computer Networking: A Top-Down Approach, Global Edition",data/covers/0000477.jpg
477,Adam Alter,Irresistible,data/covers/0000478.jpg
478,John Walkenbach,Excel 2013 Power Programming with VBA,data/covers/0000479.jpg
479,Ksi,KSI: I Am a Bellend,data/covers/0000480.jpg
480,Fred C. Piper,Cryptography: A Very Short Introduction,data/covers/0000481.jpg
481,Michael A. Nielsen,Quantum Computation and Quantum Information,data/covers/0000482.jpg
482,Alberto Cairo,The Truthful Art,data/covers/0000483.jpg
483,David Kirkpatrick,The Facebook Effect,data/covers/0000484.jpg
484,Greg Harvey,Excel 2007 For Dummies,data/covers/0000485.jpg
485,Max Kuhn,Applied Predictive Modeling,data/covers/0000486.jpg
486,Andy McVittie,Art of Assassin's Creed IV,data/covers/0000487.jpg
487,Richard Banfield,Product Leadership,data/covers/0000488.jpg
488,Ronald L. Graham,Concrete Mathematics,data/covers/0000489.jpg
489,Pavel Yosifovich,"Windows Internals, Part 1",data/covers/0000490.jpg
490,Dana Thomas,Deluxe,data/covers/0000491.jpg
491,Sebastian Raschka,Python Machine Learning,data/covers/0000492.jpg
492,Melanie Swan,Blockchain,data/covers/0000493.jpg
493,Andreas Antonopoulos,Mastering Ethereum,data/covers/0000494.jpg
494,Mike Chapple,"(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide, 8e & CISSP Official (ISC)2 Practice Tests, 2e",data/covers/0000495.jpg
495,Toby Walsh,2062: The World that AI Made,data/covers/0000496.jpg
496,Martin Odersky,"Programming in Scala, 3rd Edition",data/covers/0000497.jpg
497,Kelsey Hightower,Kubernetes - Up and Running,data/covers/0000498.jpg
498,Garry Kasparov,Deep Thinking,data/covers/0000499.jpg
499,TJ O'Connor,Violent Python,data/covers/0000500.jpg
500,Paul Barry,Head First Python 2e,data/covers/0000501.jpg
501,Nick Townsend,The Sure Thing,data/covers/0000502.jpg
502,Zack Zombie Books,Ultimate Minecraft Secrets,data/covers/0000503.jpg
503,Neil Postman,Technopoly,data/covers/0000504.jpg
504,Sunil Gupta,Driving Digital Strategy,data/covers/0000505.jpg
505,Kieran Healy,Data Visualization,data/covers/0000506.jpg
506,Martin Evening,Adobe Photoshop CS6 for Photographers,data/covers/0000507.jpg
507,Martin Evening,Adobe Photoshop CS6 for Photographers,data/covers/0000508.jpg
508,Joseph Albahari,C# 7.0 in a Nutshell,data/covers/0000509.jpg
509,Sandi Metz,Practical Object-Oriented Design in Ruby,data/covers/0000510.jpg
510,Eric Enge,The Art of SEO 3e,data/covers/0000511.jpg
511,Bradley J. Sugars,Instant Systems,data/covers/0000512.jpg
512,John Walkenbach,Excel 2010 Power Programming with VBA,data/covers/0000513.jpg
513,David Dufty,Losing the Head of Philip K. Dick,data/covers/0000514.jpg
514,Sandra Rendgen,Information Graphics,data/covers/0000515.jpg
515,Andy McVittie,The Art of Assassin's Creed III,data/covers/0000516.jpg
516,Marc Stickdorn,This Is Service Design Methods,data/covers/0000517.jpg
517,Dama International,DAMA-DMBOK,data/covers/0000518.jpg
518,Giovanna Fletcher,"Happy Mum, Happy Baby",data/covers/0000519.jpg
519,37signals,"Getting Real: The Smarter, Faster, Easier Way to Build a Successful Web Application",data/covers/0000520.jpg
520,Douglas Coupland,The Age of Earthquakes,data/covers/0000521.jpg
521,Paul Davies,"Awakening , The Art of Halo 4",data/covers/0000522.jpg
522,Scott Kelby,"The Digital Photography Book, Part 5",data/covers/0000523.jpg
523,Greg Harvey,Excel 2019 For Dummies,data/covers/0000524.jpg
524,Harvard Business Review,HBR Guide to Data Analytics Basics for Managers (HBR Guide Series),data/covers/0000525.jpg
525,Mike Rohde,The Sketchnote Workbook,data/covers/0000526.jpg
526,John R. Pierce,"An Introduction to Information Theory, Symbols, Signals and Noise",data/covers/0000527.jpg
527,Dustyn Roberts,"Making Things Move DIY Mechanisms for Inventors, Hobbyists, and Artists",data/covers/0000528.jpg
528,Brian Wood,Adobe Illustrator CC Classroom in a Book,data/covers/0000529.jpg
529,Steve Klabnik,The Rust Programming Language,data/covers/0000530.jpg
530,Ray Kurzweil,How to Create a Mind,data/covers/0000531.jpg
531,Tom Ang,Photography,data/covers/0000532.jpg
532,Marina Umaschi Bers,The Official Scratch Jr. Book,data/covers/0000533.jpg
533,J.R. McNeil,The Human Web,data/covers/0000534.jpg
534,Steve Wozniak,iWoz,data/covers/0000535.jpg
535,Michael Dawson,Beginning C++ Through Game Programming,data/covers/0000536.jpg
536,Chad Fowler,The Passionate Programmer,data/covers/0000537.jpg
537,K. A. Stroud,Engineering Mathematics,data/covers/0000538.jpg
538,Bitmap Books,The Art of Point-and-Click Adventure Games,data/covers/0000539.jpg
539,Michael Alexander,Excel 2019 Bible,data/covers/0000540.jpg
540,Neale Blackwood,Advanced Excel Reporting for Management Accountants,data/covers/0000541.jpg
541,Peter Pauper Press,Internet Address Password Log Red,data/covers/0000542.jpg
542,P W Singer,LikeWar,data/covers/0000543.jpg
543,Mark Justice Hinton,Windows 7 For Seniors For Dummies,data/covers/0000544.jpg
544,Alex Mustard,Underwater Photography Masterclass,data/covers/0000545.jpg
545,Ellen Notbohm,Ten Things Your Student with Autism Wishes You Knew,data/covers/0000546.jpg
546,Square Enix,Final Fantasy Ultimania Archive Volume 2,data/covers/0000547.jpg
547,Bill Moggridge,Designing Interactions,data/covers/0000548.jpg
548,Katie Salen Tekinbas,Rules of Play,data/covers/0000549.jpg
549,Kyle Loudon,C++ Pocket Reference,data/covers/0000550.jpg
550,Scott Millett,"Patterns, Principles, and Practices of Domain-Driven Design",data/covers/0000551.jpg
551,Perry Marshall,Ultimate Guide to Facebook Advertising,data/covers/0000552.jpg
552,Arvind Narayanan,Bitcoin and Cryptocurrency Technologies,data/covers/0000553.jpg
553,Tim Wu,The Attention Merchants,data/covers/0000554.jpg
554,Cory Huff,How to Sell Your Art Online,data/covers/0000555.jpg
555,Alan Beaulieu,Learning SQL,data/covers/0000556.jpg
556,Square Enix,Final Fantasy Ultimania Archive Volume 3,data/covers/0000557.jpg
557,H. James Wilson,Human + Machine,data/covers/0000558.jpg
558,N. Katherine Hayles,How We Became Posthuman,data/covers/0000559.jpg
559,Steven Bird,Natural Language Processing with Python,data/covers/0000560.jpg
560,Bruce Schneier,Liars and Outliers,data/covers/0000561.jpg
561,S. Enox,Final Fantasy Ultimania Archive Volume 1,data/covers/0000562.jpg
562,Ben Clark,Blue Team Field Manual (BTFM),data/covers/0000563.jpg
563,Bioware,The Art Of Mass Effect: Andromeda,data/covers/0000564.jpg
564,Cem Kaner,Lessons Learned in Software Testing,data/covers/0000565.jpg
565,Peter Kim,The Hacker Playbook 3,data/covers/0000566.jpg
566,Jason R. Rich,Hacks for Fortniters,data/covers/0000567.jpg
567,Kate Lewis,The Art of Assassin's Creed Odyssey,data/covers/0000568.jpg
568,Dorothy Graham,Foundations of Software Testing ISTQB Certification,data/covers/0000569.jpg
569,Jeremy Heimans,New Power,data/covers/0000570.jpg
570,Bjarne Stroustrup,A Tour of C++,data/covers/0000571.jpg
571,Lora Delwiche,The Little SAS Book,data/covers/0000572.jpg
572,Russell Miles,Learning UML 2.0,data/covers/0000573.jpg
573,Cal Newport,Digital Minimalism,data/covers/0000574.jpg
574,Peter Christian,The Genealogist's Internet,data/covers/0000575.jpg
575,Jeff Van West,Microsoft Flight Simulator X For Pilots,data/covers/0000576.jpg
576,Howard Podeswa,The Business Analyst's Handbook,data/covers/0000577.jpg
577,Jeffrey E.F. Friedl,Mastering Regular Expressions,data/covers/0000578.jpg
578,Niels Ferguson,Cryptography Engineering,data/covers/0000579.jpg
579,Alexis van Hurkman,Color Correction Handbook,data/covers/0000580.jpg
580,Chris Anley,The Shellcoder's Handbook,data/covers/0000581.jpg
581,Paul Davies,The Art of Assassin's Creed Origins,data/covers/0000582.jpg
582,Bruce Eckel,Thinking in Java,data/covers/0000583.jpg
583,Bruce Schneier,Click Here to Kill Everybody,data/covers/0000584.jpg
584,Robert C. Martin,"Agile Principles, Patterns, and Practices in C#",data/covers/0000585.jpg
585,Clay Shirky,Here Comes Everybody,data/covers/0000586.jpg
586,Wendell Berry,Why I Am Not Going to Buy a Computer,data/covers/0000587.jpg
587,Jim Blandy,Programming Rust,data/covers/0000588.jpg
588,Nintendo USA,The Art Of Splatoon,data/covers/0000589.jpg
589,Don Murdoch Gse,Blue Team Handbook,data/covers/0000590.jpg
590,Derek Breen,Scratch For Kids For Dummies,data/covers/0000591.jpg
591,Bryan F. Petersen,"Learning To See Creatively, Third Edition",data/covers/0000592.jpg
592,Louis Rosenfeld,"Information Architecture, 4e",data/covers/0000593.jpg
593,Bethesda Softworks,The Elder Scrolls V - The Skyrim Library,data/covers/0000594.jpg
594,Golden Krishna,The Best Interface Is No Interface,data/covers/0000595.jpg
595,Kristin Cullen,Layout Workbook,data/covers/0000596.jpg
596,Andy Rathbone,Windows 10 For Dummies,data/covers/0000597.jpg
597,Andy Rathbone,Windows 7 For Dummies,data/covers/0000598.jpg
598,Blizzard Entertainment,Diablo Bestiary,data/covers/0000599.jpg
599,Great Britain: Cabinet Office,ITIL service lifecycle publication suite [print],data/covers/0000600.jpg
600,John Brockman,Possible Minds,data/covers/0000601.jpg
601,Tom White,Hadoop - The Definitive Guide 4e,data/covers/0000602.jpg
602,Andy Rathbone,Windows 8 For Dummies,data/covers/0000603.jpg
603,Naughty Dog Studios,The Art Of Uncharted 4: A Thief's End,data/covers/0000604.jpg
604,Adobe Creative Team,Adobe InDesign CS5 Classroom in a Book,data/covers/0000605.jpg
605,Shin Takahashi,The Manga Guide To Statistics,data/covers/0000606.jpg
606,Greg Rucka,Dragon Age: Magekiller,data/covers/0000607.jpg
607,Brittany Hennessy,Influencer,data/covers/0000608.jpg
608,Alberto Ferrari,The Definitive Guide to DAX,data/covers/0000609.jpg
609,Evan Amos,The Game Console,data/covers/0000610.jpg
610,Bernard Marr,Data Strategy,data/covers/0000611.jpg
611,Melissa Perri,Escaping the Build Trap,data/covers/0000612.jpg
612,Neal Ford,Building Evolutionary Architectures,data/covers/0000613.jpg
613,David Watson,Cambridge IGCSE Computer Science Workbook,data/covers/0000614.jpg
614,Scott Belsky,The Messy Middle,data/covers/0000615.jpg
615,Geoff Watts,Scrum Mastery,data/covers/0000616.jpg
616,William Powers,Hamlet's Blackberry,data/covers/0000617.jpg
617,Hartmut Bohnacker,Generative Design,data/covers/0000618.jpg
618,Robert I. Kabacoff,R in Action,data/covers/0000619.jpg
619,Luciano Floridi,Information: A Very Short Introduction,data/covers/0000620.jpg
620,Kevin Poulsen,Kingpin,data/covers/0000621.jpg
621,Martin Robinson,Halo: The Great Journey,data/covers/0000622.jpg
622,Nick Vandome,Windows 10 in easy steps,data/covers/0000623.jpg
623,Ken Kocienda,Creative Selection,data/covers/0000624.jpg
624,Terry Griffin,The Art Of Lego Mindstorms Ev3 Programming,data/covers/0000625.jpg
625,Kevin R. Fall,"TCP/IP Illustrated, Volume 1",data/covers/0000626.jpg
626,Chris Solarski,Drawing Basics And Video Game Art,data/covers/0000627.jpg
627,Bruce Schneier,Data and Goliath,data/covers/0000628.jpg
628,Sarah Hyndman,Why Fonts Matter,data/covers/0000629.jpg
629,Darrell Young,Mastering the Olympus OM-D E-M5 Mark II,data/covers/0000630.jpg
630,Cal Newport,Digital Minimalism,data/covers/0000631.jpg
631,James Cadle,Business Analysis Techniques,data/covers/0000632.jpg
632,Andrew Faulkner,Adobe Photoshop CC Classroom in a Book (2018 release),data/covers/0000633.jpg
633,Daniil Maslyuk,Exam Ref 70-778 Analyzing and Visualizing Data by Using Microsoft Power BI,data/covers/0000634.jpg
634,David Beazley,Python Essential Reference,data/covers/0000635.jpg
635,Bethesda Softworks,The Elder Scrolls V - The Skyrim Library,data/covers/0000636.jpg
636,Wendell Odom,CCNA Routing and Switching ICND2 200-105 Official Cert Guide,data/covers/0000637.jpg
637,Sean McManus,Scratch Programming in Easy Steps,data/covers/0000638.jpg
638,Omar Santos,CCNA Security 210-260 Official Cert Guide,data/covers/0000639.jpg
639,Future Press,The Last Guardian: An Extraordinary Story,data/covers/0000640.jpg
640,Tom Bancroft,Character Mentor,data/covers/0000641.jpg
641,Herbert Schildt,"Java: A Beginner's Guide, Eighth Edition",data/covers/0000642.jpg
642,Bill Buxton,Sketching User Experiences: The Workbook,data/covers/0000643.jpg
643,David Flanagan,The Ruby Programming Language,data/covers/0000644.jpg
644,Benjamin H. Bratton,The Stack,data/covers/0000645.jpg
645,CD Projekt Red,The Witcher Adult Coloring Book,data/covers/0000646.jpg
646,Giovanna Fletcher,"Happy Mum, Happy Baby",data/covers/0000647.jpg
647,Jamie Chan,Learn C# in One Day and Learn It Well,data/covers/0000648.jpg
648,Jon Agar,Turing and the Universal Machine (Icon Science),data/covers/0000649.jpg
649,Prypto,Bitcoin For Dummies,data/covers/0000650.jpg
650,Martin Ford,Architects of Intelligence,data/covers/0000651.jpg
651,Roy Osherove,The Art of Unit Testing,data/covers/0000652.jpg
652,Ray Kurzweil,The Age of Spiritual Machines: When Computers Exceed Human Intelligence,data/covers/0000653.jpg
653,Bruce S. Silver,"BPMN Method and Style, 2nd Edition, with BPMN Implementer's Guide",data/covers/0000654.jpg
654,Evgeny Morozov,"To Save Everything, Click Here",data/covers/0000655.jpg
655,Peter Kim,The Hacker Playbook,data/covers/0000656.jpg
656,Naomi Berry,The Definitive Guide to Fortnite 2020,data/covers/0000657.jpg
657,Daniele Benedettelli,The Lego Boost Activity Book,data/covers/0000658.jpg
658,Bruce A. Tate,Seven Languages in Seven Weeks,data/covers/0000659.jpg
659,Lea Verou,CSS Secrets,data/covers/0000660.jpg
660,Craig Larman,Applying UML and Patterns,data/covers/0000661.jpg
661,Craig Zacker,Installing and Configuring Windows Server (R) 2012 R2,data/covers/0000662.jpg
662,Greg Keyes,The Infernal City,data/covers/0000663.jpg
663,Brett D. McLaughlin,Head First Objects-Oriented Analysis and Design,data/covers/0000664.jpg
664,Vaughn Vernon,Domain-Driven Design Distilled,data/covers/0000665.jpg
665,Tony Stubblebine,Regular Expression Pocket Reference,data/covers/0000666.jpg
666,Scott Wlaschin,Domain Modeling Made Functional,data/covers/0000667.jpg
667,Seymour Papert,Mindstorms,data/covers/0000668.jpg
668,Bruce Barnbaum,The Essence of Photography,data/covers/0000669.jpg
669,Jean-Philippe Aumasson,Serious Cryptography,data/covers/0000670.jpg
670,Seth Stephens-davidowitz,Everybody Lies,data/covers/0000671.jpg
671,Devin Hunter,Clash At Fatal Fields,data/covers/0000672.jpg
672,Harvard Business Review,"HBR's 10 Must Reads on Teams (with featured article ""The Discipline of Teams,"" by Jon R. Katzenbach and Douglas K. Smith)",data/covers/0000673.jpg
673,David Watson,Cambridge IGCSE Computer Science Study and Revision Guide,data/covers/0000674.jpg
674,Ben Clark,RTFM,data/covers/0000675.jpg
675,Fred Kaplan,Dark Territory,data/covers/0000676.jpg
676,Gojko Adzic,Specification by Example,data/covers/0000677.jpg
677,Bruce Dang,Practical Reverse Engineering,data/covers/0000678.jpg
678,Kevin Wallace,CCNP Routing and Switching ROUTE 300-101 Official Cert Guide,data/covers/0000679.jpg
679,Minecraft Books,Minecraft,data/covers/0000680.jpg
680,Future Press,Ni no Kuni II: Revenant Kingdom Collector's Edition Guide,data/covers/0000681.jpg
681,Dmitry Jemerov,Kotlin in Action,data/covers/0000682.jpg
682,Julie Adair King,Nikon D90 For Dummies,data/covers/0000683.jpg
683,Eli Pariser,The Filter Bubble,data/covers/0000684.jpg
684,Jeremy Narby,Intelligence in Nature,data/covers/0000685.jpg
685,Janice (Ginny) Redish,Letting Go of the Words,data/covers/0000686.jpg
686,Natasha Courtenay-Smith,The Million Dollar Blog,data/covers/0000687.jpg
687,Kim Goodwin,Designing for the Digital Age,data/covers/0000688.jpg
688,Mana Takahashi,The Manga Guide To Databases,data/covers/0000689.jpg
689,Brad Williams,Professional WordPress,data/covers/0000690.jpg
690,Rand Fishkin,Lost and Founder,data/covers/0000691.jpg
691,Sony,The Art Of Ratchet & Clank,data/covers/0000692.jpg
692,Sharon Lawner Weinberg,Statistics Using Stata,data/covers/0000693.jpg
693,Wayne Winston,Microsoft Excel Data Analysis and Business Modeling,data/covers/0000694.jpg
694,Daniel P. Friedman,The Little Schemer,data/covers/0000695.jpg
695,Scott Kelby,How Do I Do That in Photoshop?,data/covers/0000696.jpg
696,Kirill Eremenko,Confident Data Skills,data/covers/0000697.jpg
697,Mark C. Layton,Agile Project Management For Dummies,data/covers/0000698.jpg
698,Anthony Molinaro,SQL Cookbook,data/covers/0000699.jpg
699,Will Kurt,Bayesian Statistics The Fun Way,data/covers/0000700.jpg
700,Andrew McAfee,"Machine, Platform, Crowd",data/covers/0000701.jpg
701,David J. C. MacKay,"Information Theory, Inference and Learning Algorithms",data/covers/0000702.jpg
702,A. K. Dewdney,New Turing Omnibus,data/covers/0000703.jpg
703,Keith McCormick,SPSS Statistics for Dummies,data/covers/0000704.jpg
704,John D. Kelleher,Data Science,data/covers/0000705.jpg
705,DK,How Technology Works,data/covers/0000706.jpg
706,Scott Kelby,"Scott Kelby's Digital Photography Boxed Set, Parts 1, 2, 3, 4, and 5",data/covers/0000707.jpg
707,Cathy O'Neill,Doing Data Science,data/covers/0000708.jpg
708,Norbert Wiener,Cybernetics,data/covers/0000709.jpg
709,Robin Nixon,"Learning PHP, MySQL & JavaScript 5e",data/covers/0000710.jpg
710,Jaron Lanier,Ten Arguments For Deleting Your Social Media Accounts Right Now,data/covers/0000711.jpg
711,Judea Pearl,Causality,data/covers/0000712.jpg
712,Andrei Alexandrescu,Modern C++ Design,data/covers/0000713.jpg
713,Alexander S White,Photographer's Guide to the Nikon Coolpix P900,data/covers/0000714.jpg
714,Lawrence Corr,Agile Data Warehouse Design,data/covers/0000715.jpg
715,John Paul Mueller,Machine Learning For Dummies,data/covers/0000716.jpg
716,Chelsea Monroe-cassel,The Elder Scrolls: The Official Cookbook,data/covers/0000717.jpg
717,Glenn Greenwald,No Place to Hide,data/covers/0000718.jpg
718,Ross J. Anderson,Security Engineering,data/covers/0000719.jpg
719,Nicole Fenton,Nicely Said,data/covers/0000720.jpg
720,Suzanne Robertson,Mastering the Requirements Process,data/covers/0000721.jpg
721,Natalie Rusk,Scratch Coding Cards,data/covers/0000722.jpg
722,Brian Sargent,Cambridge IGCSE ICT 2nd Edition,data/covers/0000723.jpg
723,William Poundstone,Prisoner's Dilemma,data/covers/0000724.jpg
724,DK,World of Warcraft Ultimate Visual Guide,data/covers/0000725.jpg
725,brendan Kane,One Million Followers,data/covers/0000726.jpg
726,Michael Price,Windows 10 for Seniors in Easy Steps,data/covers/0000727.jpg
727,Drew Neil,"Practical Vim, 2e",data/covers/0000728.jpg
728,Dean Leffingwell,Agile Software Requirements,data/covers/0000729.jpg
729,Erik Brynjolfsson,Race Against the Machine,data/covers/0000730.jpg
730,J Clark Scott,But How Do It Know?,data/covers/0000731.jpg
731,3dtotal Publishing,Beginner's Guide to Digital Painting in Photoshop,data/covers/0000732.jpg
732,Linda Sunshine,Art of How To Train Your Dragon 2,data/covers/0000733.jpg
733,Mat Buckland,Programming Game AI By Example,data/covers/0000734.jpg
734,Jon Duckett,"Web Design with HTML, CSS, JavaScript and jQuery Set",data/covers/0000735.jpg
735,Nicholas Carr,The Shallows,data/covers/0000736.jpg
736,Scott Kelby,Professional Portrait Retouching Techniques for Photographers Using Photoshop,data/covers/0000737.jpg
737,Adam Alter,Irresistible,data/covers/0000738.jpg
738,Andreas Deja,"The Nine Old Men: Lessons, Techniques, and Inspiration from Disney's Great Animators",data/covers/0000739.jpg
739,Bill Lubanovic,Introducing Python,data/covers/0000740.jpg
740,Safiya Umoja Noble,Algorithms of Oppression,data/covers/0000741.jpg
741,Peter Leigh,"The Nostalgia Nerd's Retro Tech: Computer, Consoles & Games",data/covers/0000742.jpg
742,Stephen Foster,Minecraft Modding For Kids For Dummies,data/covers/0000743.jpg
743,Lawrence A. Cunningham,Quality Investing,data/covers/0000744.jpg
744,Michael E. Gerber,The E-Myth Contractor,data/covers/0000745.jpg
745,William Panek,MCSA Windows Server 2012 R2 Complete Study Guide,data/covers/0000746.jpg
746,Michael Jang,"RHCSA/RHCE Red Hat Linux Certification Study Guide, Seventh Edition (Exams EX200 & EX300)",data/covers/0000747.jpg
747,Aimee Andrion,Python for Everybody,data/covers/0000748.jpg
748,Jennifer Greene,Head First C#,data/covers/0000749.jpg
749,Nicholas C. Zakas,Professional JavaScript for Web Developers,data/covers/0000750.jpg
750,Michael Alexander,Excel VBA Programming For Dummies,data/covers/0000751.jpg
751,Rachel Devine,Beyond Snapshots,data/covers/0000752.jpg
752,John Boxall,Arduino Workshop,data/covers/0000753.jpg
753,Tessa Barton,InstaStyle,data/covers/0000754.jpg
754,Jonathan Gennick,SQL Pocket Guide,data/covers/0000755.jpg
755,Abby Covert,How to Make Sense of Any Mess,data/covers/0000756.jpg
756,Tsung-hsien Lee,Elements of Programming Interviews in Python,data/covers/0000757.jpg
757,Rick Delorme,Programming in HTML5 with JavaScript and CSS3,data/covers/0000758.jpg
758,Gordon Lyon,Nmap Network Scanning,data/covers/0000759.jpg
759,Jenifer Tidwell,Designing Interfaces,data/covers/0000760.jpg
760,Randy Krum,Cool Infographics,data/covers/0000761.jpg
761,Andy Rathbone,Windows 10 For Dummies,data/covers/0000762.jpg
762,Alex Bradbury,Learning Python with Raspberry Pi,data/covers/0000763.jpg
763,Nancy C. Muir,iPad 2 For Seniors For Dummies,data/covers/0000764.jpg
764,Peter Prinz,C Pocket Reference,data/covers/0000765.jpg
765,Gary D Chapman,Growing Up Social,data/covers/0000766.jpg
766,Prima Games,Super Smash Bros. Ultimate,data/covers/0000767.jpg
767,Ron White,How Computers Work,data/covers/0000768.jpg
768,Peter Weverka,Windows 10 For Seniors For Dummies,data/covers/0000769.jpg
769,Nicolai Josuttis,The C++ Standard Library,data/covers/0000770.jpg
770,F.Alton Everest,"Master Handbook of Acoustics, Sixth Edition",data/covers/0000771.jpg
771,Michael Freeman,Fifty Paths to Creative Photography,data/covers/0000772.jpg
772,Jon Duckett,HTML and CSS,data/covers/0000773.jpg
773,Bill Chambers,Spark - The Definitive Guide,data/covers/0000774.jpg
774,Oyvind Nydal Dahl,Electronics For Kids,data/covers/0000775.jpg
775,Piggyback,Red Dead Redemption 2,data/covers/0000776.jpg
776,Steven Pinker,The Stuff of Thought,data/covers/0000777.jpg
777,Joey Korenman,The Freelance Manifesto,data/covers/0000778.jpg
778,Joshua Kerievsky,Refactoring to Patterns,data/covers/0000779.jpg
779,Dan Saffer,Designing for Interaction,data/covers/0000780.jpg
780,John Walkenbach,Excel 2007 VBA Programming For Dummies,data/covers/0000781.jpg
781,Viktor Mayer-Schonberger,Big Data,data/covers/0000782.jpg
782,Steve Swink,Game Feel,data/covers/0000783.jpg
783,Wallace Wang,Beginning Programming All-In-One Desk Reference For Dummies,data/covers/0000784.jpg
784,Eric Brechner,Agile Project Management with Kanban,data/covers/0000785.jpg
785,Daniel Shiffman,The Nature of Code,data/covers/0000786.jpg
786,Jenny Preece,Interaction Design,data/covers/0000787.jpg
787,Reto Meier,Professional Android 4 Application Development,data/covers/0000788.jpg
788,Ming Zeng,Smart Business,data/covers/0000789.jpg
789,Devin Hunter,Battle for Loot Lake,data/covers/0000790.jpg
790,Elecia White,Making Embedded Systems,data/covers/0000791.jpg
791,Eric Conrad,Eleventh Hour CISSP (R),data/covers/0000792.jpg
792,John Walkenbach,Excel 2007 Bible,data/covers/0000793.jpg
793,Meghan Casey,The Content Strategy Toolkit,data/covers/0000794.jpg
794,Andrew Faulkner,Adobe Photoshop CC Classroom in a Book (2017 release),data/covers/0000795.jpg
795,Scott Patterson,Dark Pools,data/covers/0000796.jpg
796,Camille McCue,Getting Started with Coding,data/covers/0000797.jpg
797,Scott Aaronson,Quantum Computing since Democritus,data/covers/0000798.jpg
798,Darrell Young,Mastering the Nikon D7000,data/covers/0000799.jpg
799,Subrata DasGupta,Computer Science: A Very Short Introduction,data/covers/0000800.jpg
800,CD Red,Gwent: Art Of The Witcher Card Game,data/covers/0000801.jpg
801,David J. Barnes,"Objects First with Java: A Practical Introduction Using BlueJ, Global Edition",data/covers/0000802.jpg
802,Thomas A. Limoncelli,Time Management for System Administrators,data/covers/0000803.jpg
803,David Vandevoorde,C++ Templates,data/covers/0000804.jpg
